popularity,id,name,album,duration_ms,album_release_date,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artista_id,artista_generos,artista_followers,artista_name,time_signature
63,7F5oktn5YOsR9eR5YsFtqb,New Year’s Day,reputation,235466,2017-11-10,False,0.661,0.151,0,-12.864,1,0.0354,0.921,0.0,0.13,0.23,94.922,06HL4z0CvFAxyc27GXpf02,"dance pop,pop,post-teen pop",30136384,Taylor Swift,4
55,6HUnAzGo1zYfdX4ZW1yiZh,Notte senza fine - Kiasmos Remix,Endless (Remixes),388153,2017-12-01,False,0.704,0.448,1,-16.847,1,0.0454,0.228,0.913,0.107,0.231,120.009,1UL813H5aj3e8ekE5RqWqc,"deep disco house,italian techno,melodic techno,microhouse,minimal tech house",195974,Tale Of Us,4
46,1kZ3aeuuZOsDRlkZpp2uQU,Suerte (feat. Cráneo & Bejo),La Isla,210661,2017-06-27,False,0.509,0.632,1,-11.886,1,0.36,0.766,0.00057,0.23,0.833,84.989,5AlWoe0Tl7mmeNMdJCHRhj,,22069,Lasser,4
62,4SNtyKNyYJ8ERT7YLlnFBr,So Young,Woodstock,246480,2017-06-16,False,0.671,0.445,4,-7.842,0,0.0291,0.348,5.93e-05,0.155,0.811,75.996,4kI8Ie27vjvonwaB2ePh8T,"indie pop,indie rock,modern alternative rock,modern rock,rock",1092175,Portugal. The Man,4
60,1Tt5Leqvv6OawH2jth05Rw,Three Empty Words,Illuminate (Deluxe),199013,2017-04-20,False,0.615,0.414,7,-9.826,1,0.0304,0.798,0.0,0.135,0.536,95.776,7n2wHs1TKAczGzO7Dd2rGr,"canadian pop,pop,post-teen pop,viral pop",27300091,Shawn Mendes,4
40,2TN5VueWaAxwkzHgmtDRMn,Sentí el Sabor,Sentí el Sabor,160813,2017-01-27,False,0.811,0.656,1,-8.679,0,0.0696,0.0546,0.0,0.0904,0.931,104.957,5KQX0Ui06LVm6PApyicRFK,cumbia pop,916916,Rombai,4
35,52Lrz0X98yXdrvlCaRZIL1,Sensualidad - Remix,Sensualidad (Remix),199267,2017-11-12,False,0.752,0.907,11,-4.191,1,0.0497,0.256,0.000618,0.108,0.963,99.99,1yAASlbGyLcsARrmmZFEKy,,6183,Surditto DJ,4
50,6WUECTuTblMPJ1K4rRi02S,Vivir,Prometo,228640,2017-11-17,False,0.586,0.749,5,-6.991,0,0.0456,0.353,0.0,0.117,0.651,100.008,5M9Bb4adKAgrOFOhc05Y50,"latin,latin arena pop,latin pop,spanish pop",3147220,Pablo Alborán,4
38,2LqIRA261mwY69KVA7Lw6L,Una Na,Una Na,226255,2017-07-28,False,0.499,0.758,11,-5.689,0,0.16,0.019,7.78e-06,0.228,0.43,125.218,22P1OY4TRFRwhP0q29loQ8,"argentine telepop,latin viral pop,pop argentino",750983,Lali,5
59,2pSOUHBQXkN3fS2TAJHhfR,Hobgoblin,CRYSTYLE,210478,2017-01-17,False,0.621,0.873,11,-2.888,0,0.103,0.0194,0.0,0.488,0.401,169.91,6QyO41KctzGc70mVaVnXQO,"k-pop,k-pop girl group,korean city pop",618041,CLC,4
