geonames_id,lat-lon,lat,lon
3431239.0,"-38.11605,-57.60019",-38.11605,-57.60019
3845635.0,"-31.92148,-64.57651",-31.92148,-64.57651
3427714.0,"-34.88497,-57.9667",-34.88497,-57.9667
3832749.0,"-28.56667,-64.55",-28.56667,-64.55
3832769.0,"-32.17667,-64.45543",-32.17667,-64.45543
3428609.0,"-35.43962,-58.80675",-35.43962,-58.80675
3862144.0,"-38.82955,-68.1318",-38.82955,-68.1318
3435962.0,"-35.25,-58.16667",-35.25,-58.16667
3844424.0,"-31.26738,-64.30087",-31.26738,-64.30087
3435704.0,"-34.29207,-59.10179",-34.29207,-59.10179
3427535.0,"-27.41667,-54.66667",-27.41667,-54.66667
3845202.0,"-31.46467,-64.3584",-31.46467,-64.3584
3859965.0,"-31.24508,-64.46563",-31.24508,-64.46563
3851798.0,"-30.98201,-64.49139",-30.98201,-64.49139
3435356.0,"-34.57365,-58.44924",-34.57365,-58.44924
3850312.0,"-32.32205,-62.88447",-32.32205,-62.88447
3429577.0,"-27.46056,-58.98389",-27.46056,-58.98389
3429316.0,"-34.56382,-58.54297",-34.56382,-58.54297
3840293.0,"-31.21239,-61.61338",-31.21239,-61.61338
3435351.0,"-32.00382,-58.36319",-32.00382,-58.36319
3832698.0,"-36.6,-61.36667",-36.6,-61.36667
6693230.0,"-34.61082,-58.481",-34.61082,-58.481
3431325.0,"-34.79302,-58.42626",-34.79302,-58.42626
3835943.0,"-32.06905,-64.53631",-32.06905,-64.53631
3433881.0,"-34.63311,-58.85758",-34.63311,-58.85758
3430869.0,"-37.5,-57.75",-37.5,-57.75
3430387.0,"-34.64952,-58.41671",-34.64952,-58.41671
3836873.0,"-26.82414,-65.2226",-26.82414,-65.2226
3860886.0,"-31.6333,-60.6048",-31.6333,-60.6048
3832603.0,"-31.64757,-60.37516",-31.64757,-60.37516
3430115.0,"-34.58574,-58.47868",-34.58574,-58.47868
3427561.0,"-37.14604,-56.89046",-37.14604,-56.89046
3429160.0,"-36.35694,-56.72351",-36.35694,-56.72351
3430339.0,"-27.55,-55.08333",-27.55,-55.08333
3859556.0,"-42.5,-70.83333",-42.5,-70.83333
3845244.0,"-33,-68.58333",-33.0,-68.58333
3848299.0,"-24.87887,-65.58957",-24.87887,-65.58957
3427387.0,"-34.57973,-58.46829",-34.57973,-58.46829
3433778.0,"-34.5733,-58.54099",-34.5733,-58.54099
3430442.0,"-38.25,-59.25",-38.25,-59.25
3433323.0,"-34.53382,-58.5758",-34.53382,-58.5758
3433321.0,"-34.788,-58.37489",-34.788,-58.37489
3435260.0,"-31.21345,-58.16274",-31.21345,-58.16274
3431608.0,"-36.48333,-56.7",-36.48333,-56.7
3436394.0,"-34.83333,-58.33333",-34.83333,-58.33333
3427602.0,"-34.79045,-58.40277",-34.79045,-58.40277
3432134.0,"-34.66667,-58.41667",-34.66667,-58.41667
3832694.0,"-32.40751,-63.24016",-32.40751,-63.24016
3432308.0,"-36.66667,-56.66667",-36.66667,-56.66667
3429636.0,"-34.79191,-58.35402",-34.79191,-58.35402
3427626.0,"-34.89089,-58.56819",-34.89089,-58.56819
3436414.0,"-34.98244,-58.37543",-34.98244,-58.37543
3435369.0,"-34.79675,-58.33434",-34.79675,-58.33434
3845073.0,"-31.38194,-64.05545",-31.38194,-64.05545
6690180.0,"-49.3299,-72.88605",-49.3299,-72.88605
3429355.0,"-35.30094,-59.16821",-35.30094,-59.16821
3433800.0,"-37.25,-57.25",-37.25,-57.25
3435029.0,"-35.07223,-58.28554",-35.07223,-58.28554
3862286.0,"-27,-67",-27.0,-67.0
3428123.0,"-36.54131,-56.70105",-36.54131,-56.70105
3430838.0,"-34.72362,-58.79228",-34.72362,-58.79228
3834813.0,"-26.73201,-65.25921",-26.73201,-65.25921
3861631.0,"-33.6439,-61.85821",-33.6439,-61.85821
3430595.0,"-34.72978,-58.35329",-34.72978,-58.35329
3839441.0,"-33.5,-60.08333",-33.5,-60.08333
3427511.0,"-35.38796,-57.33691",-35.38796,-57.33691
3431366.0,"-34.68987,-58.68682",-34.68987,-58.68682
3858677.0,"-50.34075,-72.27682",-50.34075,-72.27682
3429692.0,"-35.27769,-57.24188",-35.27769,-57.24188
3834814.0,"-26.85275,-65.70983",-26.85275,-65.70983
3430311.0,"-34.62472,-59.25477",-34.62472,-59.25477
3429635.0,"-34.69857,-58.62706",-34.69857,-58.62706
3435650.0,"-34.48658,-59.2182",-34.48658,-59.2182
