geonames_id,lat-lon,lat,lon
3433798.0,"-34.83333,-59",-34.83333,-59.0
3855105.0,"-33.11174,-60.56421",-33.11174,-60.56421
3860217.0,"-31.97263,-60.91983",-31.97263,-60.91983
3434509.0,"-34.54167,-58.61528",-34.54167,-58.61528
3433357.0,"-27.90085,-56.86604",-27.90085,-56.86604
3427832.0,"-37.33333,-59.25",-37.33333,-59.25
3435010.0,"-34.49459,-58.62729",-34.49459,-58.62729
3428533.0,"-33.75,-59.75",-33.75,-59.75
3427506.0,"-34.96562,-58.65186",-34.96562,-58.65186
3429635.0,"-34.69857,-58.62706",-34.69857,-58.62706
3427367.0,"-34.70125,-58.38319",-34.70125,-58.38319
3430412.0,"-32.16667,-59.83333",-32.16667,-59.83333
3429355.0,"-35.30094,-59.16821",-35.30094,-59.16821
3840902.0,"-43.31251,-65.03946",-43.31251,-65.03946
3834397.0,"-32.73292,-65.29109",-32.73292,-65.29109
3837056.0,"-33.29501,-66.33563",-33.29501,-66.33563
3863379.0,"-46.43929,-67.52814",-46.43929,-67.52814
3838854.0,"-53.78769,-67.70946",-53.78769,-67.70946
3427442.0,"-34.85228,-58.08285",-34.85228,-58.08285
3864331.0,"-32.62591,-62.68873",-32.62591,-62.68873
3427561.0,"-37.14604,-56.89046",-37.14604,-56.89046
3430992.0,"-34.80412,-58.44785",-34.80412,-58.44785
3435264.0,"-32.48463,-58.23217",-32.48463,-58.23217
3853350.0,"-39.95043,-71.06936",-39.95043,-71.06936
3430102.0,"-34.65753,-58.76152",-34.65753,-58.76152
3436176.0,"-37.75,-58.25",-37.75,-58.25
3433836.0,"-27.48171,-55.82921",-27.48171,-55.82921
3427433.0,"-34.61039,-58.47173",-34.61039,-58.47173
3844229.0,"-31.72101,-65.00619",-31.72101,-65.00619
3429636.0,"-34.79191,-58.35402",-34.79191,-58.35402
3433762.0,"-34.88852,-58.3848",-34.88852,-58.3848
3832763.0,"-30.81667,-63.71667",-30.81667,-63.71667
3853958.0,"-31.40099,-61.0824",-31.40099,-61.0824
3849517.0,"-32.21659,-65.04831",-32.21659,-65.04831
3427377.0,"-34.41657,-58.87116",-34.41657,-58.87116
3838873.0,"-33.33333,-64.5",-33.33333,-64.5
3428056.0,"-35.08333,-58.5",-35.08333,-58.5
3427818.0,"-34.70025,-58.51186",-34.70025,-58.51186
3832705.0,"-31.95021,-65.05354",-31.95021,-65.05354
3435809.0,"-34.16667,-58.91667",-34.16667,-58.91667
3433723.0,"-34.76918,-58.64802",-34.76918,-58.64802
3428609.0,"-35.43962,-58.80675",-35.43962,-58.80675
3865448.0,"-32.07859,-60.97616",-32.07859,-60.97616
3435340.0,"-27.33099,-58.94622",-27.33099,-58.94622
3845035.0,"-28.14268,-65.49735",-28.14268,-65.49735
3855244.0,"-32.02927,-61.22103",-32.02927,-61.22103
3846861.0,"-34.8684,-61.52962",-34.8684,-61.52962
3861061.0,"-38.82225,-68.06293",-38.82225,-68.06293
3840631.0,"-33.22377,-66.22509",-33.22377,-66.22509
3840092.0,"-42.7692,-65.03851",-42.7692,-65.03851
3427408.0,"-34.67907,-58.47263",-34.67907,-58.47263
3435465.0,"-38.03522,-57.71086",-38.03522,-57.71086
3427399.0,"-31.66565,-59.90182",-31.66565,-59.90182
3847955.0,"-31.37754,-65.29048",-31.37754,-65.29048
3435376.0,"-34.63983,-58.54246",-34.63983,-58.54246
3846258.0,"-30.92497,-64.50207",-30.92497,-64.50207
3427405.0,"-34.69053,-58.50118",-34.69053,-58.50118
3435689.0,"-34.16667,-59.83333",-34.16667,-59.83333
3431239.0,"-38.11605,-57.60019",-38.11605,-57.60019
3838822.0,"-31.08333,-63.5",-31.08333,-63.5
3864878.0,"-38.99726,-61.55225",-38.99726,-61.55225
3427776.0,"-34.77988,-58.40312",-34.77988,-58.40312
3435789.0,"-27.2077,-54.97977",-27.2077,-54.97977
3429160.0,"-36.35694,-56.72351",-36.35694,-56.72351
3430705.0,"-34.66667,-59.41667",-34.66667,-59.41667
3430657.0,"-26.81427,-54.34387",-26.81427,-54.34387
3435260.0,"-31.21345,-58.16274",-31.21345,-58.16274
3852240.0,"-32.82374,-66.10326",-32.82374,-66.10326
3838793.0,"-32.17301,-64.11405",-32.17301,-64.11405
3433947.0,"-30.41667,-58.75",-30.41667,-58.75
3842670.0,"-36.89272,-60.32254",-36.89272,-60.32254
3838715.0,"-37.15,-60.98333",-37.15,-60.98333
3427387.0,"-34.57973,-58.46829",-34.57973,-58.46829
3838830.0,"-40,-67",-40.0,-67.0
3861244.0,"-44,-69",-44.0,-69.0
3431949.0,"-34.64019,-58.82465",-34.64019,-58.82465
3436394.0,"-34.83333,-58.33333",-34.83333,-58.33333
3433424.0,"-34.7,-58.58745",-34.7,-58.58745
3435029.0,"-35.07223,-58.28554",-35.07223,-58.28554
3428455.0,"-27.3674,-55.58091",-27.3674,-55.58091
3433787.0,"-34.45256,-58.64312",-34.45256,-58.64312
3836128.0,"-31.66667,-64.33333",-31.66667,-64.33333
3430869.0,"-37.5,-57.75",-37.5,-57.75
3430865.0,"-37.77072,-57.45118",-37.77072,-57.45118
3836188.0,"-31.53333,-68.46667",-31.53333,-68.46667
3863502.0,"-26.08333,-65.83333",-26.08333,-65.83333
3853938.0,"-32.8609,-60.77245",-32.8609,-60.77245
3842662.0,"-32.04158,-63.56978",-32.04158,-63.56978
3865352.0,"-30.96655,-64.27039",-30.96655,-64.27039
3853509.0,"-32.6672,-60.79298",-32.6672,-60.79298
3431366.0,"-34.68987,-58.68682",-34.68987,-58.68682
3841684.0,"-39.50254,-62.68169",-39.50254,-62.68169
3849298.0,"-37.5,-60.75",-37.5,-60.75
3833365.0,"-54.62912,-67.8962",-54.62912,-67.8962
3433821.0,"-38.16667,-58.08333",-38.16667,-58.08333
