geonames_id,lat,lat-lon,lon,place_name
3433357.0,-27.90085,"-27.90085,-56.86604",-56.86604,Departamento de Ituzaingó
3427832.0,-37.33333,"-37.33333,-59.25",-59.25,Partido de Tandil
3435010.0,-34.49459,"-34.49459,-58.62729",-58.62729,Don Torcuato
3428533.0,-33.75,"-33.75,-59.75",-59.75,Partido de San Pedro
3427506.0,-34.96562,"-34.96562,-58.65186",-58.65186,Vicente Casares
3429635.0,-34.69857,"-34.69857,-58.62706",-58.62706,Rafael Castillo
3427367.0,-34.70125,"-34.70125,-58.38319",-58.38319,Villa Sarmiento
3430412.0,-32.16667,"-32.16667,-59.83333",-59.83333,Departamento de Nogoyá
3429355.0,-35.30094,"-35.30094,-59.16821",-59.16821,Salvador María
3840902.0,-43.31251,"-43.31251,-65.03946",-65.03946,Playa Unión
3834397.0,-32.73292,"-32.73292,-65.29109",-65.29109,Tilisarao
3837056.0,-33.29501,"-33.29501,-66.33563",-66.33563,San Luis
3863379.0,-46.43929,"-46.43929,-67.52814",-67.52814,Caleta Olivia
3838854.0,-53.78769,"-53.78769,-67.70946",-67.70946,Río Grande
3427442.0,-34.85228,"-34.85228,-58.08285",-58.08285,Villa Elisa
3864331.0,-32.62591,"-32.62591,-62.68873",-62.68873,Bell Ville
3427561.0,-37.14604,"-37.14604,-56.89046",-56.89046,Valeria del Mar
3430992.0,-34.80412,"-34.80412,-58.44785",-58.44785,Luis Guillón
3435264.0,-32.48463,"-32.48463,-58.23217",-58.23217,Concepción del Uruguay
3853350.0,-39.95043,"-39.95043,-71.06936",-71.06936,Junín de los Andes
3430102.0,-34.65753,"-34.65753,-58.76152",-58.76152,Paso del Rey
3436176.0,-37.75,"-37.75,-58.25",-58.25,Partido de Balcarce
3433836.0,-27.48171,"-27.48171,-55.82921",-55.82921,Garupá
3427433.0,-34.61039,"-34.61039,-58.47173",-58.47173,Villa General Mitre
3844229.0,-31.72101,"-31.72101,-65.00619",-65.00619,Mina Clavero
3429636.0,-34.79191,"-34.79191,-58.35402",-58.35402,Rafael Calzada
3433762.0,-34.88852,"-34.88852,-58.3848",-58.3848,Glew
3832763.0,-30.81667,"-30.81667,-63.71667",-63.71667,Villa del Totoral
3853958.0,-31.40099,"-31.40099,-61.0824",-61.0824,Humboldt
3849517.0,-32.21659,"-32.21659,-65.04831",-65.04831,La Paz
3427377.0,-34.41657,"-34.41657,-58.87116",-58.87116,Villa Rosa
3838873.0,-33.33333,"-33.33333,-64.5",-64.5,Departamento de Río Cuarto
3428056.0,-35.08333,"-35.08333,-58.5",-58.5,Partido de San Vicente
3427818.0,-34.70025,"-34.70025,-58.51186",-58.51186,Tapiales
3832705.0,-31.95021,"-31.95021,-65.05354",-65.05354,Villa Las Rosas
3435809.0,-34.16667,"-34.16667,-58.91667",-58.91667,Partido de Campana
3433723.0,-34.76918,"-34.76918,-58.64802",-58.64802,González Catán
3428609.0,-35.43962,"-35.43962,-58.80675",-58.80675,San Miguel del Monte
3865448.0,-32.07859,"-32.07859,-60.97616",-60.97616,Arocena
3435340.0,-27.33099,"-27.33099,-58.94622",-58.94622,Colonia Benítez
3845035.0,-28.14268,"-28.14268,-65.49735",-65.49735,Manantiales
3855244.0,-32.02927,"-32.02927,-61.22103",-61.22103,Gálvez
3846861.0,-34.8684,"-34.8684,-61.52962",-61.52962,Partido de Lincoln
3861061.0,-38.82225,"-38.82225,-68.06293",-68.06293,Cinco Saltos
3840631.0,-33.22377,"-33.22377,-66.22509",-66.22509,Potrero de los Funes
3840092.0,-42.7692,"-42.7692,-65.03851",-65.03851,Puerto Madryn
